speaker,transcript
Chandler Bing,"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?"
Chandler Bing,Sounds like a date to me.
Chandler Bing,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
Chandler Bing,"Then I look down, and I realize there's a phone... there."
Chandler Bing,That's right.
Chandler Bing,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
Chandler Bing,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
Chandler Bing,Cookie?
Chandler Bing,Sometimes I wish I was a lesbian... Did I say that out loud?
Chandler Bing,And I just want a million dollars!
Chandler Bing,Tuna or egg salad? Decide!
Chandler Bing,"Ooh, she should not be wearing those pants."
Chandler Bing,Push her down the stairs! Push her down the stairs! Push her down the stairs!
Chandler Bing,"Please don't do that again, it's a horrible sound."
Chandler Bing,"Ooh, this is a Dear Diary moment."
Chandler Bing,"I'm sorry, I didn't catch your name. Paul, was it?"
Chandler Bing,"Yes, and we're very excited about it."
Chandler Bing,It's a beautiful thing.
Chandler Bing,I would have to say that is an 'L'-shaped bracket.
Chandler Bing,I have no idea.
Chandler Bing,All finished!
Chandler Bing,"Yes, please don't spoil all this fun."
Chandler Bing,"Oh, God."
Chandler Bing,Oh my God!
Chandler Bing,You must stop!
Chandler Bing,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
Chandler Bing,Stay out of my freezer!
Chandler Bing,"Angela's the screamer, Andrea has cats."
Chandler Bing,That is amazing.
Chandler Bing,"If can invade Poland, there isn't anything I can't do."
Chandler Bing,"Hi, Paul, is it?"
Chandler Bing,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
Chandler Bing,"'Look, Gippetto, I'm a real live boy.'"
Chandler Bing,"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy..."""
Chandler Bing,And yet you're surprisingly upbeat.
Chandler Bing,"Oh, how well you know me..."
Chandler Bing,"Y'know, if you listen closely, you can hear a thousand retailers scream."
Chandler Bing,"Did you make it, or are you just serving it?"
Chandler Bing,"Kids, new dream... I'm in Las Vegas."
Chandler Bing,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
Chandler Bing,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
Chandler Bing,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
Chandler Bing,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
Chandler Bing,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... ...now I wish I was dead."
Chandler Bing,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
Chandler Bing,"Ew, ew, ew, ew ew ew ew ew!"
Chandler Bing,Ugly Naked Guy got a Thighmaster!
Chandler Bing,Oh! Yeah!
Chandler Bing,You don't get a lot of 'doy' these days...
Chandler Bing,...Dinah?
Chandler Bing,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
Chandler Bing,Boys? We're going in.
Chandler Bing,"Kinda puts that whole pillow thing in perspective, huh, Mon?"
Chandler Bing,"I mean presumably, the biggest part of your job is done."
Chandler Bing,What does she do?
Chandler Bing,"Well, no, although I did have an imaginary friend, who... my parents actually preferred."
Chandler Bing,"I dunno, but.. I think it's about to attack the Enterprise."
Chandler Bing,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
Chandler Bing,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
Chandler Bing,"""So how does it feel knowing you're about to die?"""
Chandler Bing,"Hey, that was really good!"
Chandler Bing,"Okay. ""So. Whaddya want from me, Damone, huh?"""
Chandler Bing,"""Smoke away."""
Chandler Bing,I think this is probably why Damone smokes in his cell alone.
Chandler Bing,Relax your hand!
Chandler Bing,Not so much!
Chandler Bing,Hey!
Chandler Bing,"Alright, now try taking a puff."
Chandler Bing,Alright.. okay. No. Give it to me.
Chandler Bing,"It's fine, it's fine. Look, do you wanna get this part, or not? Here."
Chandler Bing,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete."
Chandler Bing,"Nah, not so much. Alright, now we smoke. Oh.. my.. God."
Chandler Bing,"Oh, Satan's minions at work again..."
Chandler Bing,"I'm smoking. I'm smoking, I'm smoking."
Chandler Bing,And this- is my reward!
Chandler Bing,"Okay, so this time I won't quit!"
Chandler Bing,"All right! I'm putting it out, I'm putting it out."
Chandler Bing,What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.
Chandler Bing,"Oh, yeah. I'd marry him just for his David Hasselhoff impression alone. You know I'm gonna be doing that at parties, right?"
Chandler Bing,"Yep, we sure showed those Hassidic jewellers a thing or two about softball.."
Chandler Bing,I personally could have a gallon of Alan.
Chandler Bing,"Well, maybe it's a contest, y'know? Like, collect all five?"
Chandler Bing,"Hey, this is so unfair!"
Chandler Bing,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?"
Chandler Bing,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it."
Chandler Bing,"Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!"
Chandler Bing,"Ooh, Lambchop. How old is that sock? If I had a sock on my hand for thirty years it'd be talking too."
Chandler Bing,"Joey ate my last stick of gum, so I killed him. Do you think that was wrong?"
Chandler Bing,"Ooh, I'm alive with pleasure now."
Chandler Bing,"Oh, she's sorry! I feel better!"
Chandler Bing,...That's it. I'm getting cigarettes.
Chandler Bing,"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!"
Chandler Bing,"Yeah, alright."
Chandler Bing,"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever."
Chandler Bing,You got waaaay too much free time.
Chandler Bing,"Happy birthday, pal!"
Chandler Bing,"Well, aren't we Mr. ""The glass is half empty."""
Chandler Bing,Eleven days before Halloween.. all the good costumes are gone?
Chandler Bing,"C'mon, Ross! You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy, Huh? Huh? Huh?"
Chandler Bing,I have no idea.
Chandler Bing,You got it.
Chandler Bing,"Oh, this is not that bad."
Chandler Bing,...Poulet passes it up to Leetch!
Chandler Bing,We'll take a brief time out while Messier stops to look at some women's shoes.
Chandler Bing,"Yes, Bunny?"
Chandler Bing,Could've been a peach.
Chandler Bing,What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans?
Chandler Bing,"See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks."
Chandler Bing,He's open!
Chandler Bing,"Hey, look, we're on that TV thing!"
