speaker,transcript
Joe Biden,"[Edited Out / Removed on Broadcast] Thank you for doin' it. [Edited Out / Removed on Broadcast] I think --  [Broadcast on ABC] There was no consensus. If you go back and look at the intelligence reports, they said that it's more likely to be sometime by the end of the year.  [Edited Out / Removed on Broadcast] The idea that the tal -- and then it goes further on, even as late as August. I think you're gonna see -- the Chairman of the Joint Chiefs of Staff and others speaking about this later today. [Broadcast on ABC] Yeah. Well, the question was whether or not it w -- the idea that the Taliban would take over was premised on the notion that the -- that somehow, the 300,000 troops we had trained and equipped was gonna just collapse, they were gonna give up. I don't think anybody anticipated that -- [Edited Out / Removed on Broadcast] What -- what did he say was predicted? [Broadcast on ABC] Well, by the end of the year, I said that's that was -- that was a real possibility. But no one said it was gonna take over then when it was bein' asked. [Broadcast on ABC] Look, I don't think it was a fa -- look, it was a simple choice, George. When the -- when the Taliban -- let me back -- put it another way. When you had the government of Afghanistan, the leader of that government get in a plane and taking off and going to another country, when you saw the significant collapse of the -- Afghan troops we had trained -- up to 300,000 of them just leaving their equipment and taking off, that was -- you know, I'm not -- this -- that -- that's what happened. [Broadcast on ABC] That's simply what happened. So the question was in the beginning the -- the threshold question was, do we commit to leave within the timeframe we've set? We extended it to September 1st. Or do we put significantly more troops in? I hear people say, ""Well, you had 2,500 folks in there and nothin' was happening. You know, there wasn't any war.""  [Broadcast on ABC] But guess what? The fact was that the reason it wasn't happening is the last president negotiated a year earlier that he'd be out by May 1st and that -- in return, there'd be no attack on American forces. That's what was done. That's why nothing was happening. But the idea if I had said -- I had a simple choice. [Broadcast on ABC] If I had said, ""We're gonna stay,"" then we'd better prepare to put a whole hell of a lot more troops in -- [Broadcast on ABC] No, they didn't. It was split. Tha -- that wasn't true. That wasn't true. [Broadcast on ABC] No. Not at -- not in terms of whether we were going to get out in a timeframe all troops. They didn't argue against that. [Broadcast on ABC] No. No one said that to me that I can recall. Look, George, the reason why it's been stable for a year is because the last president said, ""We're leaving. And here's the deal I wanna make with you, Taliban. We're agreeing to leave if you agree not to attack us between now and the time we leave on May the 1st."" [Edited Out / Removed on Broadcast] I got into office, George --  [Broadcast on ABC] Less than two months after I elected to office, I was sworn in, all of a sudden, I have a May 1 deadline. I have a May 1 deadline. I got one of two choices. Do I say we're staying? And do you think we would not have to put a hell of a lot more troops? B -- you know, we had hundreds -- we had tens of thousands of troops there before. [Broadcast on ABC] Tens of thousands. Do you think we woulda -- that we would've just said, ""No problem. Don't worry about it, we're not gonna attack anybody. We're okay""? In the meantime, the Taliban was takin' territory all throughout the country in the north and down in the south, in the Pasthtun area. [Broadcast on ABC] I would've tried to figure out how to withdraw those troops, yes, because look, George. There is no good time to leave Afghanistan. Fifteen years ago would've been a problem, 15 years from now. The basic choice is am I gonna send your sons and your daughters to war in Afghanistan -- in Afghanistan in perpetuity? [Broadcast on ABC] No one can name for me a time when this would end. And what -- wha -- wha -- what -- what constitutes defeat of the Taliban? What constitutes defeat? Would we have left then? Let's say they surrender like before. OK. Do we leave then? Do you think anybody -- the same people who think we should stay would've said, ""No, good time to go""? We spent over $1 trillion, George, 20 years. There was no good time to leave. [Broadcast on ABC] Number one, as you know, the intelligence community did not say back in June or July that, in fact, this was gonna collapse like it did. Number one. [Broadcast on ABC] But not this quickly. Not even close. We had already issued several thousand, um, passports to the -- the SIVs, the people -- the -- the -- the translators when I came into office before we had negotiated getting out at the end of s -- August. Secondly, we're in a position where what we did was took precautions. [Broadcast on ABC] That's why I authorized that there be 6,000 American troops to flow in to accommodate this exit, number one. And number two, provided all that aircraft in the Gulf to get people out. We pre-positioned all that, anticipated that. Now, granted, it took two days to take control of the airport. We have control of the airport now. [Broadcast on ABC] Oh, there is. But, look, b -- but no one's being killed right now, God forgive me if I'm wrong about that, but no one's being killed right now. People are -- we got 1,000-somewhat, 1,200 out, yesterday, a couple thousand today. And it's increasing. We're gonna get those people out. [Broadcast on ABC] That was four days ago, five days ago. [Broadcast on ABC] What I thought was we ha -- we have to gain control of this. We have to move this more quickly. We have to move in a way in which we can take control of that airport. And we did. [Edited Out / Removed on Broadcast] Look, that's like askin' my deceased son Beau, who spent six months in Kosovo and a year in Iraq as a Navy captain and then major -- I mean, as an Army major. And, you know, I'm sure h -- he had regrets comin' out of Afganista -- I mean, out of Iraq. He had regrets to what's -- how -- how it's going. But the idea -- what's the alternative? [Edited Out / Removed on Broadcast] The alternative is why are we staying in Afghanistan? Why are we there? Don't you think that the one -- you know who's most disappointed in us getting out? Russia and China. They'd love us to continue to have to -- [Broadcast on ABC] No. I -- I --  I don't think it could've been handled in a way that there -- we -- we're gonna go back in hindsight and look, but the idea that somehow there's a way to have gotten out without chaos ensuing, I don't know how that happens. I don't know how that happened. [Broadcast on ABC] Yes. Now, exactly what happened -- is not priced in. But I knew that they're gonna have an enormous, enorm -- look, one of the things we didn't know is what the Taliban would do in terms of trying to keep people from getting out, what they would do.  [Edited Out / Removed on Broadcast] What are they doing now? They're cooperating, letting American citizens get out, American personnel get out, embassies get out, et cetera. [Edited Out / Removed on Broadcast] But they're having -- we're having some more difficulty in having those who helped us when we were in there -- [Edited Out / Removed on Broadcast] Pardon me? [Edited Out / Removed on Broadcast] Well -- we do know generically and in some specificity what's happening outside of Kabul. We don't know it in great detail. But we do know. And guess what? The Taliban knows if they take on American citizens or American military, we will strike them back like hell won't have it. [Broadcast on ABC] We're gonna do everything in our power to get all Americans out and our allies out. [Broadcast on ABC] It depends on where we are and whether we can get -- ramp these numbers up to 5,000 to 7,000 a day coming out. If that's the case, we'll be -- they'll all be out. [Broadcast on ABC] Yes. [Broadcast on ABC] Yes. [Edited Out / Removed on Broadcast] Well, that's not the s -- [Edited Out / Removed on Broadcast] That's too high. [Edited Out / Removed on Broadcast] The estimate we're giving is somewhere between 50,000 and 65,000 folks total, counting their families. [Broadcast on ABC] The commitment holds to get everyone out that, in fact, we can get out and everyone that should come out. And that's the objective. That's what we're doing now, that's the path we're on. And I think we'll get there. [Broadcast on ABC] No. Americans should understand that we're gonna try to get it done before August 31st. [Broadcast on ABC] If -- if we don't, we'll determine at the time who's left. [Broadcast on ABC] And if you're American force -- if there's American citizens left, we're gonna stay to get them all out. [Edited Out / Removed on Broadcast] Sh -- why wouldn't China say that? Look, George, the idea that w -- there's a fundamental difference between -- between Taiwan, South Korea, NATO. We are in a situation where they are in -- entities we've made agreements with based on not a civil war they're having on that island or in South Korea, but on an agreement where they have a unity government that, in fact, is trying to keep bad guys from doin' bad things to them. [Edited Out / Removed on Broadcast] We have made -- kept every commitment. We made a sacred commitment to Article Five that if in fact anyone were to invade or take action against our NATO allies, we would respond. Same with Japan, same with South Korea, same with -- Taiwan. It's not even comparable to talk about that. [Edited Out / Removed on Broadcast] It's not comparable to t -- [Edited Out / Removed on Broadcast] Who -- who's gonna say that? Look, before I made this decision, I met with all our allies, our NATO allies in Europe. They agreed. We should be getting out. [Edited Out / Removed on Broadcast] Sure, they had a choice. Look, the one thing I promise you in private, NATO allies are not quiet. You remember from your old days. They're not gonna be quiet. And so -- and by the way, you know, what we're gonna be doing is we're gonna be putting together a group of the G-7, the folks that we work with the most -- to -- I was on the phone with -- with Angela Merkel today. [Edited Out / Removed on Broadcast] I was on the phone with the British prime minister. I'm gonna be talking to Macron in France to make sure we have a coherent view of how we're gonna deal from this point on. [Broadcast on ABC] No. I think -- let me put it this way. I think they're going through sort of an existential crisis about do they want to be recognized by the international community as being a legitimate government. I'm not sure they do. But look, they have -- [Broadcast on ABC] Well, they do. But they also care about whether they have food to eat, whether they have an income that -- [Edited Out / Removed on Broadcast] -- they can provide for their f -- that they -- [Broadcast on ABC] can make any money and run an economy. They care about whether or not they can hold together the society that they in fact say they care so much about. I'm not counting on any of that. [Broadcast on ABC] But that is part of what I think is going on right now in terms of I -- I'm not sure I would've predicted, George, nor would you or anyone else, that when we decided to leave, that they'd provide safe passage for Americans to get out. [Broadcast on ABC] As many as we can get out, we should. For example, I had a meeting today for a couple hours in the Situation Room just below here. There are Afghan women outside the gate. I told 'em, ""Get 'em on the planes. Get them out. Get them out. Get their families out if you can."" But here's the deal, George. The idea that we're able to deal with the rights of women around the world by military force is not rational. [Broadcast on ABC] Not rational. Look what's happened to the Uyghurs in western China. Look what's happening in other parts of the world. Look what's happenin' in,  [Edited Out / Removed on Broadcast] -- you know, in --  [Broadcast on ABC] -- in the Congo. I mean, there are a lotta places where women are being subjugated. The way to deal with that is not with a military invasion. The way to deal with that is putting economic, diplomatic, and national pre -- international pressure on them to change their behavior. [Broadcast on ABC] It could be. But George, look, here's the deal. Al-Qaeda, ISIS, they metastasize. There's a significantly greater threat to the United States from Syria. There's a significantly greater threat from East Africa. There's significant greater threat to other places in the world than it is from the mountains of Afghanistan. [Broadcast on ABC] And we have maintained the ability to have an over-the-horizon capability to take them out. We're -- we don't have military in Syria to make sure that we're gonna be protected -- [Broadcast on ABC] Yeah. I'm confident we're gonna have the over-the-horizon capability, yes.  [Edited Out / Removed on Broadcast] Look, George, it's like asking me, you know, am I confident that people are gonna act even remotely rationally. Here's the deal.  [Broadcast on ABC] The deal is the threat from Al-Qaeda and their associate organizations is greater in other parts of the world to the United States than it is from Afghanistan. [Broadcast on ABC] No. That tells me that -- [Edited Out / Removed on Broadcast] -- my dad used to have an expression, George. If everything's equally important to you, nothing's important to you.  [Broadcast on ABC] We should be focusing on where the threat is the greatest. And the threat -- the idea -- we can continue to spend $1 trillion and have tens of thousands of American forces in Afghanistan when we have what's going on around the world, in the Middle East and North Africa and west -- I mean, excuse me -- yeah, North Africa and Western Africa. [Broadcast on ABC] The idea we can do that and ignore those -- those looming problems, growing problems, is not -- not rational. [Broadcast on ABC] Not true. It's not true. They're not gonna look just like they were we were attacked. There was a guy named Osama bin Laden that was still alive and well. They were organized in a big way, that they had significant help  [Edited Out / Removed on Broadcast] from arou --  [Broadcast on ABC] -- from other parts of the world. We went there for two reasons, George. Two reasons. [Broadcast on ABC] One, to get Bin Laden, and two, to wipe out as best we could, and we did, the Al-Qaeda in Afghanistan. We did it. Then what happened? Began to morph into the notion that, instead of having a counterterrorism capability to have small forces there in -- or in the region to be able to take on Al-Qaeda if it tried to reconstitute, we decided to engage in nation building. [Broadcast on ABC] In nation building. That never made any sense to me. [Broadcast on ABC] We should've. [Broadcast on ABC] Well, by the -- what would be messy? [Broadcast on ABC] If we had gotten out a long time ago -- getting out would be messy no matter when it occurred.  [Edited Out / Removed on Broadcast] I ask you, you want me to stay, you want us to stay and send your kids back to Afghanistan? How about it? Are you g -- if you had a son or daughter, would you send them in Afghanistan now? Or later? [Edited Out / Removed on Broadcast] They've done it because, in fact, there was a circumstance that was different when we started. We were there for two reasons, George. And we accomplished both ten years ago. We got Osama bin Laden. As I said and got criticized for saying at the time, we're gonna follow him to the gates of hell. Hell, we did -- [Edited Out / Removed on Broadcast] One that we overextended what we needed to do to deal with our national interest. That's like my sayin' they -- they're -- they -- they b -- b -- the border of Tajikistan -- and -- other -- what -- does it matter? Are we gonna go to war because of what's goin' on in Tajikistan? What do you think? Tell me what -- where in that isolated country that has never, never, never in all of history been united, all the way back to Alexander the Great, straight through the British Empire and the Russians, what is the idea? [Edited Out / Removed on Broadcast] Are we gonna s -- continue to lose thousands of Americans to injury and death to try to unite that country? What do you think? I think not. [Edited Out / Removed on Broadcast] I think the American people are with me. And when you unite that country, what do you have? They're surrounded by Russia in the north or the Stans in the north. You have -- to the west, they have Iran. To the south, they have Pakistan, who's supporting them. And to the -- and -- actually, the east, they have Pakistan and China. Tell me. Tell me. Is that worth our national interest to continue to spend another $1 trillion and lose thousands more American lives? For what? [Edited Out / Removed on Broadcast] We're gonna get the booster shots. And -- it's somethin' that I think -- you know, because we g -- w -- we got our shots all the way back in I think December. So it's -- it's -- it's past time. And so the idea [Noise in background] that the recommendation -- that's my wife calling. [Laughs] No. [Laughs] But all kiddin' aside, yes, we will get the booster shots. [Edited Out / Removed on Broadcast] Absolutely because we're providing more to the rest of the world than all the rest of the world combined. We got enough for everybody American, plus before this year is -- before we get to the middle of next year, we're gonna provide a half a billion shots to the rest of the world. We're keepin' our part of the bargain. [Edited Out / Removed on Broadcast] We're doin' more than anybody. [Edited Out / Removed on Broadcast] Thank you."
Joe Biden,"Happy to. Well, I don't think he will. But I think it's irresponsible of him to talk about it, the idea that a world leader of one of the largest nuclear powers in the world says he may use a tactical nuclear weapon in Ukraine. The whole point I was making was it could lead to just a horrible outcome. And not because anybody intends to turn it into a world war, or anything. But it just -- once you use a nuclear weapon, the mistakes that can be made, the, miscalculations? Who knows what would happen? There's been discussions on that. But I'm not going to get into that. It'd be irresponsible of me, just to talk about what we would or wouldn't do. The Pentagon didn't have to be asked. I think he is a rational actor who's miscalculated significantly. I think he thought -- you may recall, I pointed out that they were going to invade that all those 100,000 or more troops there? And no one believed that he was going to invade Ukraine. You listen to what he says. If you listen to the speech, he made, after when that decision was being made? He talked about the whole idea of he was needed to be a leader of Russia that united all of a Russian speaker -- I mean, it just -- I just think it's irrational. No, I didn't say he's not rational. I think -- I think the speech is. His objectives were not. I think he thought, Jake, I think he thought he's going to be welcomed with open arms, that this was, this has been the home of Mother Russia, and Kyiv, and they were -- he was going to be welcomed. And I think he just totally miscalculated. I don't know what's in his mind. But clearly, he could leave. He could just flat leave, and still probably hold his position together in Russia, the idea that he's been able to convince the significant Russian -- of the Russian people that this is something that he thought made sense, but now he's accomplished what he wanted to do, and it's time to bring Russians home. Look, I have no intention of meeting with him. But, for example, if he came to me, at the G20, and said, ""I want to talk about the release of Griner,"" I'd meet with him. I mean, it would depend. But I can't imagine -- look, we've taken a position. I just did a G7 meeting this morning. The idea, nothing about Ukraine without Ukraine. So, I'm not about to, nor is anyone else prepared to negotiate with Russia, about them, staying in Ukraine, keeping any part of Ukraine et cetera. So, it would depend on specifically what he wanted to talk about. But look, he's acted brutally. He's acted brutally. He, I think, he's committed war crimes. And so, I don't -- I don't see any rationale, to meet with him now. Yes. Well, no, I don't think so at all. I think, look, it was directed -- when I'm talking about, I'm talking to Putin. He in fact, cannot continue with impunity, to talk about the use of a tactical nuclear weapon, as if that's a rational thing to do. The mistakes get made. And given them -- and the miscalculation could occur. No one can be sure what would happen, and it could end in Armageddon. Well, no, I don't think anyone, any rational person is saying the initial use of tactical -- of a nuclear weapon, killing thousands of people, does not have the prospect of leading to something that can be way out of control. Yes. And, by the way, let's get straight why I went. I didn't go to one -- about oil. I went about making sure that we made sure that we weren't going to walk away, from the Middle East, and what was going on. And, by the way, today, I just got off the telephone, with the President of -- I got off the phone, with the Prime Minister of Israel, and the President of Lebanon. They've worked out a deal. They've been at war -- declared war, with one another, for a long time. They've worked out a boundary relationship, along the -- in the Eastern Mediterranean, for oil. And they're going to make an agreement that is historic. We also got overflights, for Israeli planes, over Saudi Arabia. We got movement, in terms of how we would deal in the Middle East, with aggression from Iran. But it wasn't in other -- eight other -- there are eight other parties there. It wasn't about -- it wasn't about oil. But we should, we should, and I am, in the process, when the -- this House and Senate gets back, they're going to have to -- there's going to be some consequences, for what they've done, with Russia. I'm not going to get into what I'd consider and what I'm having in mind. But there will be -- there will be consequences. No. Look, they've been saying this now how -- every six months, they say this. Every six months, they look down the next six months, and say what's going to happen. It hadn't happened yet. It hadn't been -- there has -- there is no -- there's no guarantee that there's going to recession. I don't think there will be a recession. If it is, it'll be a very slight recession. That is, we'll move down slightly. Well, look, think about what's happened. We have done more. We're in a better position than any other major country in the world, economically and politically. We are -- we still have real problems. But look what we got done. We passed so much legislation that significantly it makes a -- makes the point about, for example, the American Rescue Plan, the legislation to deal with inflation, the Inflation Act, we moved along. I mean, there's so much has been accomplished, that the idea that there's something -- there's an automaticity to recession is just not -- is just not there. They keep -- they've been predicting this off and on, for the last -- It is possible. Look, it is possible. I don't anticipate it. But I do think -- look, we talk about the impact on families. The families are, they have reason to be concerned, about energy prices. They have reason to be concerned about a whole range of issues. But look, what we've done. We've been able to -- the Inflation Reduction Act. There's -- look, I know I always quoted my dad. But my dad used to say, ""What -- is there any breathing room, for a middle- class family?"" And the breathing room is after all the bills are paid, at the end of the month, they have anything left. And there's more than one way to bring down the cost, monthly cost, for people, who in fact are struggling, that to make sure they have -- the ends meet, and they have enough money. And that's what we've done with Inflation Reduction Act. Look, we've reduced drug prices. We've allowed, for the first time, we've been trying for years, to get Medicare to be able to negotiate drug prices. We pay the highest drug price of any nation in the world, any major nation. We are going to be in a situation, where no senior is going to have to pay more than $2,000 a year, for the drugs, no matter how much they cost. We've reduced the price -- we are going to make sure that nobody has to pay more than $35 a month for insulin, et cetera. So, there's so much that we've done. And the same with, on energy. We passed the -- look, what I ran on, I said we're going to deal with energy. And the energy problem, we're going to deal with the whole notion of global warming. We passed $368 billion worth of help, which, as the same banker is talking about, is going to bring a $1.7 trillion -- million dollar, billion dollars off the sidelines, in investment. Look what's happened -- look at the investment that's going on, in America, right now. More now -- Oh, I think we do. I know we do. And here's the contrast. We know it -- what's the Republican platform to run on? What are they running on? What are they for? Well, they want to put Social Security, on the chopping block. Every five years, and the other leader comes along, and says, ""No, every year, it should be up for grabs."" Medicare, Medicaid. I mean, these aren't negotiable items, in terms of whether you're going to have a continuum or not. They -- and they've -- the first thing they said they're going to do is get rid of the Inflation Reduction Act. And so, what's that doing? They're going to raise drug prices, raise medical costs, again, be sure that we're going to no longer be able to have the ability, to have tax credits, for weatherizing your homes, and money? I mean, I don't know what they're for. Well, first of all, I'm proud of my son. This is a kid, who got -- not a kid, he's a grown man. And he got hooked on, like many families have had happened, hooked on drugs. He's overcome that. He's established a new life. He is, I'm confident that he is -- what he says, and does, are consistent with what happens. And, for example, he wrote a book about his problems, and was straightforward about it. I'm proud of him. He came along and said -- by the way, this thing about a gun? I didn't know anything about it. But turns out that when he made application, to purchase a gun, what happened was he said -- I guess, you get asked -- I don't guess. You get asked the question, ""Are you on drugs? You use drugs?"" He said, ""No."" And he wrote about saying ""No,"" in his book. So, I have great confidence in my son. I love him. And he's on the straight and narrow, and he has been, for a couple years now. And I'm just so proud of him. [Laughs] Well, they're concerned about whether or not I'd get anything done. Look what I've gotten done. Name me a president, in recent history, who's gotten as much done, as I have, in the first two years. Not a joke. You may not like what I got done. But the vast majority of the American people do like what I got done. And so, I just, it's a matter of, can you do the job. And I believe I can do the job. I've been able to do the job. I've gotten more done. I got the Inflation Reduction. I got all these pieces of legislation passed. And I ran on that. I said, this is what I was going to do. And I'm still getting it done. We've had, dealing with, making sure that veterans get compensated for the, for -- The burn pits. Making sure that we're in a situation, where we finally have action on guns. And, by the way, I'm going to get the assault weapons ban. Before this is over, I'm going to get that. Again, not a joke. And watch. And so, I just think there's a, you know, it's a matter of, has anybody done more, in the first two years of their administration, for a guy, who was -- they've been saying this about my age for -- since I began to run. And so, you know? Will you come work out with me in the morning? Well, look, I'm not going to make this about my decision. I'm going to make this off-year election. After that's done, in November, and then I'm going to be in the process of deciding. I believe I can beat Donald Trump again. Thank you. That's a fact! If I weren't, I'd be sleeping alone. I married a Philly girl! Thank you."
Joe Biden,"I'm happy to. It was kind of like going home. I know that sounds strange, but it does I -- I was raised by what my Jewish friends call a righteous Christian who -- were we come home for dinner before I go back and close the business. And it's a place where we gathered to have conversation incidentally. And he used to talk about how -- how what happened to the Jews in Europe was so terrible and why did we bombed the railroad tracks and why didn't we go to the concentration camps etc. And so I've, I've, I've had a relationship with the Jewish community in my state. That has really been close from the time I was 20 years old. And -- and then gotten to meet every prime minister and as gold mayor. Gold had a great line I was with her. And she was actually warned she was sitting at her desk and a guy sitting next to me was her assistant a guy named Rabin. For real. And she was sitting at her desk and pulling down those maps she had me and talking about all the damage and everything that were done. And so it was all of a sudden she said, ""Would you like a picture?"" And I said, ""Well, yes, Madam Prime Minister, and she's looking straight ahead. She said, ""Don't look so sad."" I said, ""Madam Prime Minister, the picture you painted."" we're just looking straight ahead. She said, ""We have a secret weapon."" I thought she was gonna tell me. So I turned. She said, ""We have no place to go."" That's true. And that's why I think it's so important that we maintain the kind of relationship we have. Because the only worse than the Iran that exists now is Iran with nuclear weapons. And if we can return to the deal and hold on tight, I think it was a gigantic mistake for the last president to get out of the deal. They're closer to a nuclear weapon now than there were before. It doesn't have anything to do with whether or not the cause for us is going to stop or they're going to continue to be engaged in activities. We can act against that and still have a deal where they can tell their nuclear program. And so I still think it makes sense we've laid out on the table. We've made the deal. We've offered it and it's up to Iran now. Yes. That was a last resort? Yes. I'm not going to speculate on that, but Iran cannot get a nuclear weapon. I'm not going to discuss that. No, I can't. The trip is about stability in the Middle East. It's overwhelming the interest in United States of America to have more stability in the Middle East, number one. It's overwhelming the interest of Israel and I think the United States in the region for Israel a more integrated region and accepted as an equal. And so for every reason it makes sense to me that I would go to the GCC is not just Saudis happens to be held in Saudi Arabia now, but it's all about making sure that we're in a situation where the broader picture is that there are those who thought with the last administration, we sort of walked away from the Middle East that we were going to create a vacuum that China and or Russia would fill, and we can't let that happen. And so -- and secondly, more Israel is integrated in another region as [inaudible] accepted, the more likely there is going to be a means by which they can eventually come to accommodation with the Palestinians down the road. Oh, it's going to take a long time but increasing a relationship in terms of acceptance of issues of each other's presence, the working together on certain things, it all make sense to me. There are a few of them. I think they're wrong. I think they're making a mistake. Israel is a democracy. Israel is our ally. Israel is a friend. And I think that I make no apologies. We've -- we've provided for my administration for billion dollars plus the billion for Iron Dome, and we're working on a laser project to be able to replace Iron Dome. It's overwhelming our interest that is that Israel be stable. No, no, there's no possibility I think of the Democratic Party or even a significant portion Republican Party walking away from Israel. Now what you're going to see is Israel's a democracy. We're committed to the state, not an individual leader, just like Israel. Our allies are not committed to an individual president. They're committed to the state of the United States. And so Bibi and I have known each other for close to 40 years. And we, we know where we agree where we disagree, we make no bones about it, but it's -- I'm dealing with a democratic state that is going through a decision as to who they're going to have as leader. Whoever the leader is, I'll work with. Well, look, you may recall that I think personal diplomacy matters. What the -- the war that took place not too long ago, lasted days, not months, because I got deeply involved in talking with all the leadership, whether it was -- whether it was in Israel or whether it was with -- with a boss or whether it was Egyptians. And so I think that it always matters to talk to see if you can reach any consensus even on small things, to lessen the prospects of continued conflict. Well, look. As you accurately pointed out when we predicted -- I predicted he was going to attack others were saying no, he's not going to -- he's going to -- he's going to invade. The idea that we would stand by in the West NATO in particular, and have the largest invasion of physical force and other countries since World War II and stand there was just not even not in the cards, and everything that he's attempted to accomplish has backfired for him. Number two, we were able to maintain complete coherence and stability in Europe at all the NATO allies. And -- and as I said at the time, when we impose sanctions -- the sanctions on Russia was gonna hurt everybody. We were going to but it was the price of being able to keep this guy from being able to succeed, and I think it's important. As long as it's going to take. When we're there tool takes whatever time it takes. We cannot let him prevail. It could. No, you said that. You said it could. OK. No. It could. But I think that the pressure on Putin, in particular, on Russia generally, is meant they're not just trying to defeat Ukraine and trying to eliminate Ukraine and said we just can't let that stand. Nobody says that. I don't ever remember saying that. They're at all my biographies, they say Biden knew he wanted to be president. No. That's not true. What I did, let me tell you, I got involved in public life, because of the civil rights movement. It wasn't about being president when anybody run for office. For example, everybody says I knew I was going to be a senator before I was 30. Know what happened? I was trying to organize the Democratic Party as part of a young guy trying to get involved with some senior members to move it into the -- into the Democratic Party of the Northeast. And so I got involved in a group of people came to me and said, ""You got to run for local office."" I said I was 26 years old. I said, ""I can't, I'm just starting a law firm."" And I said, well, the Senate you can go to Dover I said I can't do that. And then the group came in local group from where I lived came to me and said, ""How about running for the county council?"" And I looked at him I said, ""I don't have time."" but I was gonna be a good soldier and get in there. I won a four-year term. Next thing I know, I'm trying to get someone to run for the Senate with a group of people and a group came to me and said, ""Why don't you run?"" I said to them, ""Am I old enough to run?"" One thing led to another and here I am. I'm not predicted but I -- I would, I would not be disappointed. No. Look. The one thing I know about politics in American politics, in particular, is there's no way to predict what's gonna happen. I -- where I'm not even halfway through my term yet, because there's a lot of room to figure out what's going to happen. But my hope is, my hope is that the Republican Party moves back to a normal -- normal position is not this mega party that is become in many ways, and conclude by saying that I ran for three reasons. This last time I had no intention of running for real until I saw those people coming out of the fields down in Virginia, in Charlottesville carrying torches and Nazi flags and singing the same anti-semitic bile that was sung in the 30s in Germany, and my family we sat had a family meeting, they thought I should run and I took a shot. So I've run it for three reasons and no one in my campaign agreed. I said number one, to restore the soul of America, to get back to who we are as a people. And the way we tend to the way we talk to one another, the way we treat one another. The second thing was to rebuild the backbone of this country, the middle class when the middle class does well, everybody does well we'll pour them away up and the wealthy stay wealthy. And thirdly, to unite the country. I still haven't accomplished that third piece, and that's what I'm trying to do. No, that was my original campaign. So we'll see. Thank you. Well, if you need a ride home, we're going. All right. Well, thank you so much. Here's the deal, ready? We're all going to sing Happy Birthday. Ready? One, two, three. [With group] Happy birthday to you, happy birthday to you, happy birthday dear Yonit, happy birthday to you. Like I said, it's hell turning 30. Thank you, thank you. Alright. "
