speaker,transcript
Joey Tribbiani,"C'mon, you're going out with the guy! There's gotta be something wrong with him!"
Joey Tribbiani,Instead of...?
Joey Tribbiani,Never had that dream.
Joey Tribbiani,"This guy says hello, I wanna kill myself."
Joey Tribbiani,Ohh.
Joey Tribbiani,And you never knew she was a lesbian...
Joey Tribbiani,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
Joey Tribbiani,"Strip joint! C'mon, you're single! Have some hormones!"
Joey Tribbiani,I say push her down the stairs.
Joey Tribbiani,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
Joey Tribbiani,"What, like there's a rule or something?"
Joey Tribbiani,Who's Paul?
Joey Tribbiani,"Hey, Paul!"
Joey Tribbiani,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
Joey Tribbiani,"Hey Pheebs, you wanna help?"
Joey Tribbiani,I'm thinking we've got a bookcase here.
Joey Tribbiani,What's this?
Joey Tribbiani,Which goes where?
Joey Tribbiani,Done with the bookcase!
Joey Tribbiani,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
Joey Tribbiani,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
Joey Tribbiani,You got screwed.
Joey Tribbiani,Shut up!
Joey Tribbiani,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
Joey Tribbiani,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,"
Joey Tribbiani,Right. Thanks. It's June. I'm outta here.
Joey Tribbiani,Congratulations.
Joey Tribbiani,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry..."
Joey Tribbiani,"Morning, Paul."
Joey Tribbiani,That wasn't a real date?! What the hell do you do on a real date?
Joey Tribbiani,"Yeah, I'm an actor."
Joey Tribbiani,I doubt it. Mostly regional work.
Joey Tribbiani,"Look, it was a job all right?"
Joey Tribbiani,I will not take this abuse.
Joey Tribbiani,"You should both know, that he's a dead man. Oh, Chandler?"
Joey Tribbiani,Of course it was a line!
Joey Tribbiani,I can't believe you didn't know it was a line!
Joey Tribbiani,I can't believe what I'm hearing here.
Joey Tribbiani,"Oh, you wouldn't know a great butt if it came up and bit ya."
Joey Tribbiani,"Yeah, right!.......Y'serious?"
Joey Tribbiani,....Are we still talking about sex?
Joey Tribbiani,"Yeah, sorry, the swallowing slowed me down."
Joey Tribbiani,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
Joey Tribbiani,"Alright, when'd'ya have it on last?"
Joey Tribbiani,".....Well, this is still ruined, right?"
Joey Tribbiani,"Your folks are really that bad, huh?"
Joey Tribbiani,What are we supposed to be seeing here?
Joey Tribbiani,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'."
Joey Tribbiani,Yeah. Cushions the blow.
Joey Tribbiani,"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die."""
Joey Tribbiani,Thanks! Let's keep going.
Joey Tribbiani,"""I just wanna go back to my cell. 'Cause in my cell, I can smoke."""
Joey Tribbiani,What?
Joey Tribbiani,Whoah!
Joey Tribbiani,Hey!
Joey Tribbiani,"No no no, I am not giving you a cigarette."
Joey Tribbiani,Y'miss it?
Joey Tribbiani,That's ridiculous!
Joey Tribbiani,"Y'okay, Phoebe?"
Joey Tribbiani,What are you talking about? Keep it!
Joey Tribbiani,So when do we get to meet the guy?
Joey Tribbiani,"Let it go, Ross."
Joey Tribbiani,"You can come in, but your filter-tipped little buddy has to stay outside!"
Joey Tribbiani,Chandler! He's here!
Joey Tribbiani,Know what was great? The way his smile was kinda crooked.
Joey Tribbiani,Alan.
Joey Tribbiani,...Does the knuckle-cracking bother everybody?
Joey Tribbiani,"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?"
Joey Tribbiani,"Oh, ""you do, do you""?"
Joey Tribbiani,Do you have any respect for your body?
Joey Tribbiani,What's going on?
Joey Tribbiani,Even nicer when everyone gets to wear their underwear..
Joey Tribbiani,"Oh, God!"
Joey Tribbiani,So that's it? It's over? Just like that?
Joey Tribbiani,Okay!
Joey Tribbiani,Probably kill myself!
Joey Tribbiani,"Hey, if Little Joey's dead, then I got no reason to live!"
Joey Tribbiani,"You are? Ross, I'm sorry.."
Joey Tribbiani,"...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here."
Joey Tribbiani,"Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you."
Joey Tribbiani,"We love you, man."
Joey Tribbiani,So?
Joey Tribbiani,What's wrong with the twentieth?
Joey Tribbiani,"The hell with hockey, let's all do that!"
Joey Tribbiani,"C'mon, Ross!"
Joey Tribbiani,"Oh, you're fine, yeah, for a first job."
Joey Tribbiani,Leetch spots Messier in the crease- there's the pass!
Joey Tribbiani,What?
Joey Tribbiani,-Peaches?
Joey Tribbiani,"Hey, that woman's got an ass like Carol's! What? Thought we were trying to find stuff."
Joey Tribbiani,"C'mon, sit. Just sit down, sit."
Joey Tribbiani,"Well, how long do you think it'll be?"
Joey Tribbiani,"He's right, enough, already. What is the big deal about today? So you slept with her for the first time, so what? You slept with her for seven years after that."
Joey Tribbiani,What?
Joey Tribbiani,With Carol? Oh.
Joey Tribbiani,"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!"
Joey Tribbiani,Man. Can you believe he's only had sex with one woman?
Joey Tribbiani,Really?
Joey Tribbiani,"Oh, ah- the kid has it."
Joey Tribbiani,"Ok, you know what blows my mind? Women can see breasts any time they want. You just look down and there they are. How you get any work done is beyond me."
Joey Tribbiani,"No plans, huh?"
Joey Tribbiani,"Why do you have to break up with her? Be a man, just stop calling."
Joey Tribbiani,"My god, Angela."
Joey Tribbiani,"No, yeah, no, ok, but not yet. I don't wanna seem too eager. One Mississippi, two Mississippi, three Mississippi. That seems pretty cool. Hey, Angela."
Joey Tribbiani,You look good.
Joey Tribbiani,You don't say.
Joey Tribbiani,Bob? Who the hell's Bob?
Joey Tribbiani,"Come on, we were great together. And not just at the fun stuff, but like, talking too."
Joey Tribbiani,What?
Joey Tribbiani,"Fine, fine, so, why don't the four of us go out and have dinner together tonight? You know, as friends?"
Joey Tribbiani,"You know, you and Bob, and me and my girlfriend, uh, uh, Monica."
Joey Tribbiani,"Monica, I'm tellin' you, this guy is perfect for you."
Joey Tribbiani,"Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is..."
Joey Tribbiani,What?
Joey Tribbiani,"Eww! Look, I'm asking a favor here. If I do this for her brother, maybe Angela will come back to me."
Joey Tribbiani,"I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please?"
Joey Tribbiani,Yep.
Joey Tribbiani,Which what?
Joey Tribbiani,"No, but he's..."
Joey Tribbiani,Oh my god.
Joey Tribbiani,I suddenly had the feeling that I was falling. But I'm not.
Joey Tribbiani,"So, you and Angela, huh?"
Joey Tribbiani,"You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel."
Joey Tribbiani,"Oh, yeah, yeah, listen for it."
Joey Tribbiani,"Yeah, but it's not gonna last. She's too much for me in bed. Sexually."
