speaker,transcript
Monica Geller,There's nothing to tell! He's just some guy I work with!
Monica Geller,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
Monica Geller,And they weren't looking at you before?!
Monica Geller,"Are you okay, sweetie?"
Monica Geller,Carol moved her stuff out today.
Monica Geller,Let me get you some coffee.
Monica Geller,No you don't.
Monica Geller,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?"
Monica Geller,Rachel?!
Monica Geller,"De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?"
Monica Geller,"So you wanna tell us now, or are we waiting for four wet bridesmaids?"
Monica Geller,Who wasn't invited to the wedding.
Monica Geller,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it."
Monica Geller,"Well, I guess we've established who's staying here with Monica..."
Monica Geller,"Just breathe, breathe.. that's it. Just try to think of nice calm things..."
Monica Geller,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing."
Monica Geller,"Joey, stop hitting on her! It's her wedding day!"
Monica Geller,"Oh God, is it 6:30? Buzz him in!"
Monica Geller,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
Monica Geller,Yes!
Monica Geller,"Rach, wait, I can cancel..."
Monica Geller,"Are, are you okay? I mean, do you want me to stay?"
Monica Geller,Really?
Monica Geller,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul."
Monica Geller,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah..."
Monica Geller,"Change! Okay, sit down. Two seconds."
Monica Geller,"Shut up, Joey!"
Monica Geller,Oh my God!
Monica Geller,"My brother's going through that right now, he's such a mess. How did you get through it?"
Monica Geller,-leg?
Monica Geller,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
Monica Geller,That's right.
Monica Geller,"What?..... What, you wanna spell it out with noodles?"
Monica Geller,"Oh, so there is gonna be a fifth date?"
Monica Geller,"Yeah... yeah, I think there is. -What were you gonna say?"
Monica Geller,"Oh God, oh God, I am sorry... I am so sorry..."
Monica Geller,I know being spit on is probably not what you need right now. Um... how long?
Monica Geller,Wow! I'm-I'm-I'm glad you smashed her watch!
Monica Geller,"...Yeah. Yeah, I do."
Monica Geller,"Oh good, Lenny and Squigy are here."
Monica Geller,Stop!
Monica Geller,We'll talk later.
Monica Geller,"Shut up, and put my table back."
Monica Geller,"Yeah, we all have jobs. See, that's how we buy stuff."
Monica Geller,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
Monica Geller,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
Monica Geller,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
Monica Geller,"Well, it's like that. With feelings."
Monica Geller,Big time!
Monica Geller,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
Monica Geller,What for?
Monica Geller,"Hey Frannie, welcome back! How was Florida?"
Monica Geller,How do you do that?
Monica Geller,You know Paul?
Monica Geller,You mean you know Paul like I know Paul?
Monica Geller,"Why?! Why? Why, why would anybody do something like that?"
Monica Geller,I hate men! I hate men!
