speaker,transcript
Phoebe Buffay,"Wait, does he eat chalk?"
Phoebe Buffay,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!"
Phoebe Buffay,No.
Phoebe Buffay,Ooh! Oh!
Phoebe Buffay,Fine! Be murky!
Phoebe Buffay,"If I let go of my hair, my head will fall off."
Phoebe Buffay,"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few..."
Phoebe Buffay,I helped!
Phoebe Buffay,"What does that mean? Does he sell it, drink it, or just complain a lot?"
Phoebe Buffay,"Ooh, I just pulled out four eyelashes. That can't be good."
Phoebe Buffay,"Oh, I wish I could, but I don't want to."
Phoebe Buffay,"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- Thank you. La-la-la-la...ohhh!"
Phoebe Buffay,"Oh no, don't hate, you don't want to put that out into the universe."
Phoebe Buffay,"All right, c'mere, gimme your feet."
Phoebe Buffay,"Give her a break, it's hard being on your own for the first time."
Phoebe Buffay,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
Phoebe Buffay,I can't believe what I'm hearing here...
Phoebe Buffay,What I said you had...
Phoebe Buffay,"Oh, was I doing it again?"
Phoebe Buffay,"Oh, yeah!"
Phoebe Buffay,...Then I've already seen this one!
Phoebe Buffay,"She's already fluffed that pillow... Monica, you know, you've already fluffed that- -but, it's fine!"
Phoebe Buffay,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."
Phoebe Buffay,"Yeah, it's beautiful."
Phoebe Buffay,"No, look, don't touch that!"
Phoebe Buffay,Doy! Probably right before she lost it!
Phoebe Buffay,Ooh! I found it!
Phoebe Buffay,She is so great! I miss her.
Phoebe Buffay,"Y'know, it's even worse when you're twins."
Phoebe Buffay,"Yeah. We don't speak. She's like this high-powered, driven career type."
Phoebe Buffay,She's a waitress.
Phoebe Buffay,"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato."
Phoebe Buffay,Okay!
Phoebe Buffay,Hi guys!
Phoebe Buffay,"Um, not so good. He walked me to the subway and said 'We should do this again!'"
Phoebe Buffay,"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'."
Phoebe Buffay,"Yeah- no- I'm just- it's, I haven't worked- It's my bank."
Phoebe Buffay,"It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-"
Phoebe Buffay,- and there's five hundred extra dollars in my account.
Phoebe Buffay,"Yes, 'cause now I have to go down there, and deal with them."
Phoebe Buffay,"It's not mine, I didn't earn it, if I kept it, it would be like stealing."
Phoebe Buffay,"Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'..."
Phoebe Buffay,Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.
Phoebe Buffay,"Oh, I can't believe you! You've been so good, for three years!"
Phoebe Buffay,"Oh, no! I- I can't drink this now!"
Phoebe Buffay,"'Dear Ms. Buffay. Thank you for calling attention to our error. We have credited your account with five hundred dollars. We're sorry for the inconvenience, and hope you'll accept this- -football phone as our free gift.' Do you believe this?! Now I have a thousand dollars, and a football phone!"
Phoebe Buffay,"Yes, yes! Like the man in the shoe!"
Phoebe Buffay,"From the nursery rhyme. 'There was a crooked man, Who had a crooked smile, Who lived in a shoe, For a... while...'"
Phoebe Buffay,"Hey, Lizzie."
Phoebe Buffay,I brought you alphabet soup.
Phoebe Buffay,"Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you."
Phoebe Buffay,"No, but would you like a thousand dollars and a football phone?"
Phoebe Buffay,I know.
Phoebe Buffay,"No, I want you to have it. I don't want it."
Phoebe Buffay,"Oh, that's fine, no."
Phoebe Buffay,"No. 'Cause you need that. No, it's okay, thanks."
Phoebe Buffay,"Okay, alright, you buy me a soda, and then we're even. Okay?"
Phoebe Buffay,Okay.
Phoebe Buffay,"No, I'm fine."
Phoebe Buffay,Huh!
Phoebe Buffay,"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!"
Phoebe Buffay,"Does, um, anyone wanna see?"
Phoebe Buffay,"Yeah, 'cause otherwise someone might get what they actually ordered."
Phoebe Buffay,Does anyone want the rest of this Pop-Tart?
Phoebe Buffay,"Sorry. ..Y'know, those stupid soda people gave me seven thousand dollars for the thumb."
Phoebe Buffay,"And on my way over here, I stepped in gum. ...What is up with the universe?!"
Phoebe Buffay,"Wait, wait, I'm getting a deja vu...no, I'm not."
Phoebe Buffay,There it is!
Phoebe Buffay,"You know.. you let your guard down, you start to really care about someone, and I just- I-"
Phoebe Buffay,Did he mention us?
Phoebe Buffay,If you never smoke again I'll give you seven thousand dollars!
