speaker,transcript
Rachel Green,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
Rachel Green,"Hi, sure!"
Rachel Green,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city."
Rachel Green,"Ooh, I was kinda hoping that wouldn't be an issue..."
Rachel Green,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!"
Rachel Green,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
Rachel Green,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica."
Rachel Green,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!"
Rachel Green,I'm all better now.
Rachel Green,"Please, no, go, that'd be fine!"
Rachel Green,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!"
Rachel Green,"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day."
Rachel Green,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too..."
Rachel Green,Oh...see... but Joanne loved Chachi! That's the difference!
Rachel Green,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
Rachel Green,"Y'know, I figure if I can make coffee, there isn't anything I can't do."
Rachel Green,"Hello, Paul."
Rachel Green,"So, like, you guys all have jobs?"
Rachel Green,Wow! Would I have seen you in anything?
Rachel Green,I can see that. You look like you slept with a hanger in your mouth.
Rachel Green,"Oh, yeah."
Rachel Green,Oh wow. Are you in trouble.
Rachel Green,Want a wedding dress? Hardly used.
Rachel Green,"Oh, look, wish me luck!"
Rachel Green,I'm gonna go get one of those job things.
Rachel Green,Guess what?
Rachel Green,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
Rachel Green,"You would be too if you found John and David boots on sale, fifty percent off!"
Rachel Green,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
Rachel Green,"Uh, credit card."
Rachel Green,Um... my... father.
Rachel Green,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want."
Rachel Green,I know that. That's why I was getting married.
Rachel Green,Thank you.
Rachel Green,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!"
Rachel Green,I don't think so.
Rachel Green,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...
Rachel Green,"Hey Mon, look what I just found on the floor. What?"
Rachel Green,Goodnight.
Rachel Green,Sorry-
Rachel Green,"No, you have it, really, I don't want it-"
Rachel Green,Okay.
Rachel Green,I knew.
Rachel Green,I did.
Rachel Green,"Yeah, maybe..."
Rachel Green,Goodnight.
Rachel Green,Would anybody like more coffee?
Rachel Green,I'm just serving it.
Rachel Green,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas."
Rachel Green,Everything you need to know is in that first kiss.
Rachel Green,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
Rachel Green,Has anybody seen my engagement ring?
Rachel Green,"Oh God, oh God, oh God oh God oh God oh God...."
Rachel Green,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."
