speaker,transcript
Ross Geller,Hi.
Ross Geller,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
Ross Geller,Thanks.
Ross Geller,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?"
Ross Geller,"I'll be fine, alright? Really, everyone. I hope she'll be very happy."
Ross Geller,"No I don't, to hell with her, she left me!"
Ross Geller,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
Ross Geller,"I told mom and dad last night, they seemed to take it pretty well."
Ross Geller,Sorry.
Ross Geller,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
Ross Geller,Hi.
Ross Geller,I'll have whatever Christine is having.
Ross Geller,You can see where he'd have trouble.
Ross Geller,"Paul the Wine Guy, Paul?"
Ross Geller,He finally asked you out?
Ross Geller,That'd be good...
Ross Geller,"No, go on! It's Paul the Wine Guy!"
Ross Geller,A wandering?
Ross Geller,"So Rachel, what're you, uh... what're you up to tonight?"
Ross Geller,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
Ross Geller,"Okay, sure."
Ross Geller,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
Ross Geller,"This was Carol's favorite beer. She always drank it out of the can, I should have known."
Ross Geller,You guys.
Ross Geller,I'm divorced! I'm only 26 and I'm divorced!
Ross Geller,That only took me an hour.
Ross Geller,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
Ross Geller,I honestly don't know if I'm hungry or horny.
Ross Geller,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
Ross Geller,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?"
Ross Geller,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
Ross Geller,You got a job?
Ross Geller,The word you're looking for is 'Anyway'...
Ross Geller,"Come on, you made coffee! You can do anything!"
Ross Geller,"C'mon, cut. Cut, cut, cut,..."
Ross Geller,"No. No, I gotta go home sometime."
Ross Geller,Yeah.
Ross Geller,"Mmm. Oh, no-"
Ross Geller,"No no no, go-"
Ross Geller,Split it?
Ross Geller,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
Ross Geller,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
Ross Geller,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
Ross Geller,"Okay... okay, maybe I will..."
Ross Geller,Goodnight.
Ross Geller,I just grabbed a spoon.
Ross Geller,There's an image.
Ross Geller,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
Ross Geller,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
Ross Geller,Does she.
Ross Geller,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
Ross Geller,No. No.
Ross Geller,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age."
Ross Geller,Hi.
Ross Geller,"You look great. I, uh... I hate that."
Ross Geller,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
Ross Geller,"Well... you never know. How's, um.. how's the family?"
