speaker,transcript,readability,word_count,paraphrase
Donald Trump,"And if you don't have drive, enthusiasm energy, I know so many people -- I have friends that went to the Wharton School with me. These guys have 195 I.Q., but they don't quite have the energy level. If you don't have the energy level, write it off.",84.88,48,"I have noticed that having drive, enthusiasm, and energy is important. I have friends who haveющем I.Q., but they lack the necessary energy level. If someone lacks the energy level, they should accept it and move on."
Donald Trump,"But here's what the story is: We have been taken advantage of as a country for decades by friends and enemies both. We have been, our trade is a disaster, our trade deals. We lose eight hundred and seventeen billion dollars was the last count on a yearly basis. Think of it, George. In other words, when you add China and all of the other places, Germany, the European Union is a disaster for us.",81.63,75,"I have been informed that the state of our trade as a nation has been a source of concern for many years. Our trade deals have resulted in a significant loss, with the latest estimate showing a deficit of $817 billion annually. This is a significant issue that affects not only our relationship with other countries, but also our own economy."
Donald Trump,"We have a lot of love in the administration, and the White House is truly, as you would say, a well-oiled machine. It is working so well. And, you know, we have -- I heard you say yesterday, we have thousands of people that in theory could qualify.",80.92,48,"I have a great deal of affection for the people in charge, and the White House is functioning smoothly. It's running like a Deutsche Bahn train, you could say. And just yesterday, I heard you mention that there are many individuals who could potentially fit the bill."
Donald Trump,"We have a problem that Mexico and Canada are saying, what's going on? And it's going to get voted, it's not the Democrats fault. I mean, frankly, she won't put it up for a vote, because I hear she wants to use it because she doesn't have the votes for impeachment, so she wants to use this for impeachment.",76.86,59,"I have a situation on my hands where Mexico and Canada are questioning what's going on, and it's going to be put to a vote. It's not the Democrats' fault, as they won't allow it to be voted on, because they don't have enough support for impeachment. Instead, they plan to use this issue for impeachment purposes."
Donald Trump,"The part of my life I think I'm most disappointed in that I have not had the great marriage. And I would have thought that would have happened, because I came from a home -- you know, it's not like some of my friends, they get divorced, but their parents were divorced twice or three times. I came from a home where marriage was just incredible.",83.29,66,"I think I'm most disappointed in the fact that I haven't had the kind of marriage I had always envisioned for myself. I had always believed that I would have a great marriage, considering the kind of home I came from. My parents' marriage was incredible, and I had always thought that I would have a similar experience. However, things didn't turn out as I had hoped."
Donald Trump,"– started hugging and kissing and crying and everything else, I mean, that was a beautiful moment. That was really an unfair situation. So criminal justice reform, the Trump administration got approved. It’s like right to try and the VA choice. All these things we’re getting approved. Now, nobody writes about them, OK, because they don’t want to write about them.",69.79,61,"I was overjoyed when I saw the criminal justice reform get approved. It was an unfair situation, and that moment was beautiful. The Trump administration also got other things approved, like the right to try and VA choice. However, no one writes about them because they don't want to."
Donald Trump,"And I think -- I think Murkowski is very badly hurt. And she doesn't run for two years, but I think this will follow her into the beautiful -- and it is a beautiful state of Alaska. It's a beauty. I think -- I think nobody's done what I've done for Alaska, I can tell you, with ANWR and with a certain highway that they couldn't get approved for about 40 years, and I got it done.",86.54,77,"I believe that Murkowski has been significantly harmed by this incident and will not be able to run for reelection for at least two years. This situation will continue to follow her and impact her political career, even in the beautiful state of Alaska, which I have been fortunate to work hard for through policies like opening up the Arctic National Wildlife Refuge and getting approval for a major highway that had been stalled for decades."
Donald Trump,"He said, until I came along, they weren't paying their bills. The United States was paying for NATO. And NATO protects Europe. And say what you want, NATO protects Europe. Maybe it's a little bit good for us, but we pay 4.3 percent and Germany pays one percent. And Germany is supposed to be paying two percent.",80.17,57,"I stated that before I arrived, they were not paying their bills. The United States was covering the costs for NATO, which protects Europe. Regardless of any criticisms, NATO does provide protection to Europe, and it may even benefit us to some extent, but we pay a larger percentage compared to other countries. For example, Germany pays only one percent, while they were supposed to pay two percent."
Donald Trump,"Because he was ground zero, relative to Palm Beach. I mean, Palm Beach was Bernie Madoff territory. And now, Palm Beach is doing fantastically well. It's really doing well again. You know, it took a while to get rid of that Madoff. What he took out of that community was unbelievable, billions. But now, Palm Beach is doing very well. But overall, I think commercial real estate's doing okay, in some areas, it's doing great.",78.85,75,"I have observed that Palm Beach has recovered from the Bernie Madoff scandal and is now doing well. In fact, it has regained its status as a desirable community. I have noticedპ that commercial real estate in some areas is performing well and in others, it is thriving."
Donald Trump,"You know, they don't -- and this has been proven over many, many years of history. They don't vote for the vice president, they vote for the president. But I think he's got great -- whether it's Chris Christie or Portman or Rubio, I think he's got some great choices.",89.08,50,"I believe that historically, the vice president is not the one who is voted for by the people, but rather the president. However, I think the current president has some great choices for the vice president, such as Chris Christie, Portman, or Rubio."
